Year,Units,Area of spending category,Area of spending sub-category,Observation status,Unit multiplier,Unit measure,SERIES,Value
2004,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.108695074
2005,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.848415788
2006,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.015946008
2007,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.013416687
2008,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.036101967
2009,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.927498601
2010,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.906384404
2011,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.868938522
2012,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.703953166
2013,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.677848792
2014,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.686122291
2015,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.7554227
2000,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,37.78764248
2001,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,37.8815725
2002,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,37.34478821
2003,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,37.24608543
2004,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,36.79810839
2005,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,36.03282198
2006,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,34.92665304
2007,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,34.97760191
2008,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,33.57642409
2009,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,35.55438808
2010,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,35.63691144
2011,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,36.43419156
2012,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,37.38527264
2013,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,37.90717241
2014,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,37.8246582
2015,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),_L_010a02,38.38333304
2000,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,6.217091888
2001,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,6.407266062
2002,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,6.215439808
2003,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.929320638
2004,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.724994963
2005,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.597059299
2006,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.246158036
2007,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.186001549
2008,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.096220655
2009,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.267515407
2010,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.140723228
2011,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.038547493
2012,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.427164553
2013,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.68896402
2014,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,5.818849646
2015,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),_L_010a02,6.189600493
2000,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,18.37674463
2001,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,18.66462353
2002,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,18.34578624
2003,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,17.91102212
2004,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,17.63496124
2005,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,17.61350224
2006,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,17.19755972
2007,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,17.41509072
2008,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,16.77554019
2009,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,17.44932384
2010,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,17.63445187
2011,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,18.39079092
2012,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,19.37262622
2013,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,20.15599914
2014,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,20.32112835
2015,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),_L_010a02,20.62110592
2000,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.419566293
2001,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.434974469
2002,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.427310082
2003,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.382350944
2004,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.352395108
2005,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.274936413
2006,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.284398044
2007,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.287715331
2008,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.259417038
2009,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.367891275
2010,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.283418871
2011,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.168339482
2012,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.138626209
2013,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.143957639
2014,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.143329464
2015,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),_L_010a02,0.141353248
2000,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,4.650193078
2001,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,4.727983357
2002,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,4.826288674
2003,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,5.830543214
2004,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,6.446511593
2005,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,6.326022403
2006,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,6.390935355
2007,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,5.774258266
2008,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,4.939602246
2009,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,5.046643112
2010,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,4.80819254
2011,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,4.734399175
2012,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,4.122326034
2013,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,3.710736487
2014,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,3.624690353
2015,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),_L_010a02,3.46720929
2000,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,1.121433363
2001,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.799392878
2002,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.854395382
2003,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.867183465
2004,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.76124186
2005,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.750084753
2006,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.775661409
2007,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.725543009
2008,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.700938571
2009,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.94771543
2010,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.89261721
2011,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.768701816
2012,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.764892011
2013,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.644657486
2014,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.511262857
2015,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),_L_010a02,0.356190224
2000,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,3.252156752
2001,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.947109626
2002,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.933401667
2003,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.665344147
2004,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.548307021
2005,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.528030557
2006,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.523990863
2007,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.530849829
2008,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.457912362
2009,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.734635554
2010,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,2.891243138
2011,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,3.030507399
2012,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,3.082629466
2013,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,3.138250792
2014,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,3.08076697
2015,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),_L_010a02,3.053878918
2000,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.87817297
2001,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.788055417
2002,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.64388279
2003,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.515943294
2004,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.308435054
2005,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.033712991
2006,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.793612574
2007,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.489046391
2008,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,2.857858827
2009,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,3.246382632
2010,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,3.442989917
2011,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,3.636291506
2012,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,3.733760378
2013,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,3.806193652
2014,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,3.692398137
2015,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,3.801691249
2000,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.002330924
2001,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.007758742
2002,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.00382129
2003,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.001234718
2004,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.001140437
2005,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.001774928
2006,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.000501289
2007,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.000633385
2008,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.001850945
2009,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.000275059
2010,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.000264754
2011,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.001057907
2012,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.000644174
2013,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0.000257297
2014,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0
2015,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),_L_010a02,0
2000,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.869952579
2001,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.10440842
2002,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.094462277
2003,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.143142892
2004,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,1.020121114
2005,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.907698397
2006,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.713835748
2007,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.568463423
2008,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.487083253
2009,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.494005779
2010,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.543009906
2011,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.665555864
2012,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.742603596
2013,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.618155901
2014,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.632232422
2015,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),_L_010a02,0.752303696
2000,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,17.19810667
2001,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,18.19998747
2002,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,19.3823553
2003,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,20.19938049
2004,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,21.25898225
2005,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,21.92779266
2006,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,22.60317812
2007,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,23.27682002
2008,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,25.04367671
2009,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,28.3376781
2010,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,28.91882251
2011,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,28.63680448
2012,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,29.09953406
2013,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,28.92871702
2014,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,29.06991488
2015,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),_L_010a02,28.9170488
2000,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,3.772786498
2001,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,4.023175475
2002,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,4.315171484
2003,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,4.567010848
2004,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,4.973157058
2005,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,5.20640899
2006,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,5.517877995
2007,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,5.685678862
2008,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,6.204436731
2009,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,7.04723195
2010,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,7.103646874
2011,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,7.043347458
2012,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,7.093032798
2013,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,7.252771185
2014,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,7.461293867
2015,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),_L_010a02,7.556054655
2000,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.378310904
2001,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.390191156
2002,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.436527224
2003,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.47020848
2004,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.478479201
2005,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.473955424
2006,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.477328915
2007,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.471175024
2008,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.477185208
2009,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.488077601
2010,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.457120662
2011,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.475154717
2012,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.469757274
2013,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.43981572
2014,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.469534703
2015,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),_L_010a02,0.432828922
2000,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.395469566
2001,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.418990503
2002,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.462748788
2003,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.458432802
2004,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.507023088
2005,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.539293608
2006,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.597360015
2007,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.598513474
2008,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.626966595
2009,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.796377963
2010,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.790500151
2011,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.808850277
2012,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.82924155
2013,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.790897669
2014,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.828906214
2015,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),_L_010a02,0.781209877
2000,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,2.884842817
2001,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,3.075196962
2002,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,3.270928614
2003,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,3.478232943
2004,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,3.823281354
2005,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,4.010571062
2006,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,4.263288013
2007,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,4.431298403
2008,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,4.89899475
2009,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,5.496720393
2010,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),_L_010a02,5.566885947
